support vector machine	Support-vector machine
silent aircraft	Silent Aircraft Initiative
sierpiński arrowhead curve	Sierpiński curve
goodwill bridge	Goodwill Bridge
1987 in radio	1987 in radio
smart munitions	Precision-guided munition
oil recovery	Oil recovery
gm b platform	GM B platform
hms endurance	HMS Endurance
thermochemical conversion	Thermal depolymerization
virtual desktop software	Virtual desktop
glutamate cytotoxicity	Excitotoxicity
gene porter	Gene Porter
irrationality measure	Liouville number
anaphoric macro	Anaphoric macro
compact uniform honeycomb	Uniform honeycombs in hyperbolic space
einstein's constant	Einstein's constant
watergate first break-in	Watergate scandal
solanum eremanthum	Solanum pseudocapsicum
channel 35	Channel 35
spear head	Projectile point
web search	Search engine
model rail	Model Rail
atta in prague	Mohamed Atta's alleged Prague connection
high-altitude platforms	Atmospheric satellite
fractal-generating software	Fractal-generating software
hirail truck	Road–rail vehicle
jaynes' principle	Principle of maximum entropy
gunshot sensor	Gunfire locator
vacuum polarization	Vacuum polarization
car glass	Car glass
gardner's relation	Gardner's relation
banana error	Off-by-one error
distilled spirits	Liquor
teaching piano	Piano pedagogy
nizbor glassworks	Nižbor glassworks
chirp spread spectrum	Chirp spread spectrum
dorsal cavity	Body cavity
physical disability access	Accessibility
real time encryption	Disk encryption
laminin 111	Laminin 111
code page 13488	UTF-16
range top	Cooktop
fermented drink	Alcoholic drink
remastering tools	List of remastering software
microwave radiometer	Microwave radiometer
electric lighting	Electric light
megestrol acetate	Megestrol acetate
stone chip	Lithic flake
condensation dryer	Clothes dryer
double cover	Double cover
square second	Solid angle
enclosed alphanumerics	Enclosed Alphanumerics
message sequence chart	Message sequence chart
air-pollution laws	Environmental law
curvature of riemannian manifolds	Curvature of Riemannian manifolds
glass bedding	Rifle bedding
cicca emblica	Phyllanthus emblica
gallium arsenide germanium solar cell	Multi-junction solar cell
bills horse troughs	Bills horse troughs
cupric salicylate	Salicylic acid
span efficiency number	Oswald efficiency number
mas ayoob	Massad Ayoob
soy products	Soybean
scallop shell	Scallop
ball point	Ballpoint pen
bella goth	The Sims
saccharomyces cerevisiae proteins	Saccharomyces cerevisiae
rotating reference frame	Rotating reference frame
broad sheet	Broad sheet glass
coulomb operator	Coulomb operator
magnetic force microscopy	Magnetic force microscope
fourier map	Difference density map
wireless hacking	Cracking of wireless networks
event structure	Event structure
universal he	Gender neutrality in languages with gendered third-person pronouns
chemical grouting	Grout
list of programming languages with algebraic data types	Algebraic data type
peter lax	Peter Lax
dvd movie	DVD-Video
new order discography	New Order discography
off-route mine	Anti-tank mine
advanced paternal age	Paternal age effect
latent load	Latent heat
demeter principle	Law of Demeter
pijper's scale	Octatonic scale
chemical constitution	Chemical formula
page replacement	Page replacement algorithm
kynoch machine gun	Schwarzlose machine gun
sofia assay	Surround optical-fiber immunoassay
krüppel associated box	Krüppel associated box
htlv-ii antigens	Human T-lymphotropic virus
idesia polycarpa	Idesia
aurora borelis	Aurora
shoulder broadening	Shoulder
sebastian ziani de ferranti	Sebastian Ziani de Ferranti
list of american words	Comparison of American and British English
conservation and restoration of vinyl discs	Conservation and restoration of vinyl discs
cha su bao	Cha siu bao
introduction to maths of general relativity	Introduction to the mathematics of general relativity
serial killer	Serial killer
toilet roll holder	Toilet roll holder
route 180	List of highways numbered 180
retractor penis muscle	Retractor muscle of the penis
arkansas-class ironclad	Arkansas-class ironclad
signal to noise	Signal-to-noise ratio
cable tie	Cable tie
genetic regulation	Regulation of gene expression
carbon monoxide poisoning	Carbon monoxide poisoning
ice carving	Ice sculpture
list of forensic science-related topics	Outline of forensic science
b6270 road	B roads in Zone 6 of the Great Britain numbering scheme
secondary group	Types of social groups
blizzard of 96	North American blizzard of 1996
picture exchange communication system	Picture Exchange Communication System
local integrability	Locally integrable function
low temperature shift	Water-gas shift reaction
kitchen counter	Countertop
platoon commander	Platoon leader
grim reaper	Death (personification)
types of shoes	Shoe
eclipse-class cruiser	Eclipse-class cruiser
lipid anchor	Lipid-anchored protein
vroman effect	Vroman effect
anonymous mask	Guy Fawkes mask
female anatomy	Sex differences in human physiology
running survey	Running survey
hooping cough	Whooping cough
cream gravy	Gravy
thong muan	Thong muan
pin stripes	Pinstripes
countries in 1991	List of sovereign states in the 1990s
video synopsis technology	Video synopsis
hare and hound	Hare and Hounds
army drums	Military drums
obliterative coloration	Countershading
game streamer	Video game live streaming
cyanide fishing	Cyanide fishing
criegee zwitterion	Criegee intermediate
emerson flutes	Conn-Selmer
biogenetic law	Recapitulation theory
gesture controller	Gesture recognition
plane stupid	Plane Stupid
opere citato	Op. cit.
playstation video	PlayStation Video
finnish locative system	Finnish noun cases
karachi central jail	Central Prison Karachi
yurka-class minesweeper	Yurka-class minesweeper
electronic terminal	Computer terminal
steven hawkin	Stephen Hawking
kapitalna coal mine	Kapitalna coal mine
longitudinal muscular coat	Muscular layer
magic and religion	Magic and religion
bedroom pop	Lo-fi music
horse trekking	Trail riding
pollen zone	Pollen zone
rontgen equivalent physical	Röntgen equivalent physical
paralell interface	Parallel port
calcium deposits in shoulder	Calcific tendinitis
biological cycle	Biological life cycle
cataloging in publication	Cataloging in Publication
quarter guard	Quarter guard
factor of merit	Figure of merit
loop start trunk	Loop start
simple algebraic group	Reductive group
heat tape	Trace heating
chosen key distinguishing	Known-key distinguishing attack
bahá'í views on love	Religious views on love
muscle fibres	Muscle fibres
creation of charge theory	Dynamo theory
blood gas monitor	Pulse oximetry
directional pad	D-pad
hydrolysis reaction	Hydrolysis
environmental scientist	Environmental science
voyage data recorder	Voyage data recorder
viscous fingering	Saffman–Taylor instability
epitope mapping	Epitope mapping
tomb stone	Headstone
schema evolution	Schema evolution
n-ary code	N-ary code
diamond imitation	Diamond simulant
isotopic analysis by nuclear magnetic resonance	Isotopic analysis by nuclear magnetic resonance
ornstein theorem	Ornstein isomorphism theorem
he's jade	Mr. He's jade
tidal lock	Tidal locking
flash forward	Flashforward
energy spectral density	Spectral density
till death do we part	Marriage
celestial coordinate system	Celestial coordinate system
virus hoax	Virus hoax
linux format magazine	Linux Format
ophthalmic dispenser	Optician
3-indolepropionic acid	3-Indolepropionic acid
conference operation	Conference operation
first dose response	First-dose phenomenon
glider pilot	Gliding
joule-thomson coefficient	Joule–Thomson effect
differential pulse voltammetry	Differential pulse voltammetry
miller indicies	Miller index
huszár-class destroyer	Huszár-class destroyer
nicotinate mononucleotide adenylyltransferase	Nicotinate-nucleotide adenylyltransferase
environmental awareness	Environmentalism
country sports	Field sports
gern submarine	Ottomar Gern
concrete dome	Concrete shell
astrometric binary	Binary star
electron capture negative chemical ionization	Chemical ionization
alternative fuel sources	Alternative fuel
humidity control	Air conditioning
electronic first curtain	Focal-plane shutter
muscle spindle	Muscle spindle
spirit parser framework	Spirit Parser Framework
double mindedness	Bad faith
brouwer fixed-point theorem	Brouwer fixed-point theorem
intravenous bicarbonate	Intravenous sodium bicarbonate
in vivo testing	Animal testing
chromodynamic binding energy	Quantum chromodynamics binding energy
pavement management system	Pavement management
open-source textbook	Open textbook
bayesian interpretation of regularization	Bayesian interpretation of kernel regularization
inrush current limiter	Inrush current limiter
cutaway illustration	Cutaway drawing
sulfilimine bond	Sulfilimine
v8 engined	V8 engine
ninja 650	Kawasaki Ninja 650R
trimotor aircraft	Trimotor
indonesian currency	Indonesian rupiah
transcription factories	Transcription factories
object-relational dbms	Object–relational database
empress database	Empress Embedded Database
centripedal force	Centripetal force
anatafel number	Ahnentafel
double tuned	Double-tuned amplifier
web of life	Food web
pekin willow	Salix babylonica
flower heads	Pseudanthium
aircraft propulsion	Powered aircraft
shale oil production	Shale oil extraction
32 bit colour	Color depth
lenoir cycle	Lenoir cycle
sthenoteuthis pteropus	Sthenoteuthis pteropus
trellising methods	Vine training
community antenna television	Cable television
ultra low penetration air	Ultra-low particulate air
devonshire colic	Devon colic
production thermal analysis of metals	Thermal analysis
seedless vascular plant	Pteridophyte
legionaire's disease	Legionnaires' disease
central air conditioner	Air conditioning
potential momentum	Momentum
object code compatible	Binary-code compatibility
optical distribution frame	Distribution frame
oligoclonal band	Oligoclonal band
just-in-time manufacturing	Just-in-time manufacturing
military combat	War
steiner tunnel test	Steiner tunnel test
wind speed meter	Anemometer
il papavero è anche un fiore	The Poppy Is Also a Flower
stroke ratio	Stroke ratio
timeline of space travel by nationality	Timeline of space travel by nationality
kappa pappadam	Kappa pappadam
hemispherical omnidirectional gimbaled wheel	Hemispherical omnidirectional gimbaled wheel
google flight sim	Google Earth
trophic dynamics	Food web
genealogy of power/knowledge	Michel Foucault
dixon's factorization method	Dixon's factorization method
concave function	Concave function
rotary switch	Rotary switch
speed record	Speed record
automatic grammar checking	Grammar checker
reverse index	Reverse index
cipher feedback mode	Block cipher mode of operation
linear absorption coefficient	Attenuation coefficient
equivalent lowpass signal	Baseband
mayan prophecy	2012 phenomenon
measurement uncertainties	Measurement uncertainty
schaefer's fixed point theorem	Schauder fixed-point theorem
diffuse skylight	Diffuse sky radiation
