term,annotation,df
alphacd28,protein,jnlpba
/alphacd28,protein,jnlpba
human peripheral blood mononuclear cell,cell_type,jnlpba
deactivating cytokine,protein,jnlpba
interleukin 10,protein,jnlpba
tnf-alpha mrna,RNA,jnlpba
proinflammatory cytokine,protein,jnlpba
protein kinase c substrate,protein,jnlpba
lymphocyte-specific protein 1,protein,jnlpba
lsp1,protein,jnlpba
b-chronic lymphocytic leukemia ( b-cll ) cells,cell_line,jnlpba
pkc substrates,protein,jnlpba
marcks,protein,jnlpba
"myristoylated , alanine-rich c kinase substrate",protein,jnlpba
mrp,protein,jnlpba
marcks-related protein,protein,jnlpba
p60,protein,jnlpba
b cell line cess,cell_line,jnlpba
p60 protein,protein,jnlpba
b-cll cells,cell_line,jnlpba
cess cells,cell_line,jnlpba
nuclear trans-acting factors,protein,jnlpba
stat families,protein,jnlpba
cellular dna,DNA,jnlpba
interleukin ( il ) -10 and il-6-type cytokines,protein,jnlpba
il-6 response elements,DNA,jnlpba
il-10r,protein,jnlpba
box 3 sequence motifs,protein,jnlpba
signal-transducing receptor subunits,protein,jnlpba
il-6-type cytokines,protein,jnlpba
il-6-responsive elements,DNA,jnlpba
il-6r,protein,jnlpba
"b- , t- , and nk-cell lineages",cell_type,jnlpba
sis-inducible element,DNA,jnlpba
il-2/il-15,protein,jnlpba
transfected tissue culture cells,cell_line,jnlpba
cos-1 cells,cell_line,jnlpba
il-6-responsive gene elements,DNA,jnlpba
hepatoma cells,cell_type,jnlpba
il-6-responsive genes,DNA,jnlpba
box 3 motifs,protein,jnlpba
progressively truncated cytoplasmic domains,protein,jnlpba
il-6-type cytokine receptors,protein,jnlpba
hla-dr promoter,DNA,jnlpba
normal thymic epithelial cells,cell_type,jnlpba
hla-dr-constitutive b cells,cell_type,jnlpba
thymic epithelial cells,cell_line,jnlpba
tec,cell_line,jnlpba
`` physiologic '' cell lineage,cell_type,jnlpba
ciita trans-activator,protein,jnlpba
mhc class ii gene regulatory factor,protein,jnlpba
mhc class ii dra promoter,DNA,jnlpba
dra gene regulatory sequences,DNA,jnlpba
mhc class ii-constitutive b cells,cell_type,jnlpba
burkitt lymphoma line raji,cell_line,jnlpba
normal tonsil- derived b cells,cell_type,jnlpba
tumor necrosis factor ( tnf ) -alpha gene,DNA,jnlpba
secreted-type placental alkaline phosphatase ( plap ) reporter gene,DNA,jnlpba
1.4-kb human tnf-alpha promoter,DNA,jnlpba
plap reporter gene,DNA,jnlpba
plap,protein,jnlpba
nf-kappa b binding sites,DNA,jnlpba
kappa b-1,DNA,jnlpba
kappa b-2,DNA,jnlpba
kappa b-3,DNA,jnlpba
kappa b-4,DNA,jnlpba
human tnf-alpha promoter,DNA,jnlpba
mutated promoter-plap plasmids,DNA,jnlpba
p50/p65 heterodimer,protein,jnlpba
nf-kappa b dna probes,DNA,jnlpba
nf-kappa b recognition sites,DNA,jnlpba
anti-i kappa b-alpha antibody,protein,jnlpba
c-terminal activating and inhibitory domains,protein,jnlpba
pax-2,DNA,jnlpba
pax-8,DNA,jnlpba
c-terminal serine/threonine/proline-rich region,protein,jnlpba
promoter and enhancer positions,DNA,jnlpba
pax-5 allele,DNA,jnlpba
acute lymphoblastic leukemia cell line reh,cell_line,jnlpba
extreme c-terminus,protein,jnlpba
positively and negatively acting sequences,DNA,jnlpba
mammalian pax-2,DNA,jnlpba
zebrafish pax-b,DNA,jnlpba
sea urchin pax-258 proteins,protein,jnlpba
pax proteins,protein,jnlpba
c-terminal regulatory module,protein,jnlpba
activating and inhibitory sequences,DNA,jnlpba
androgen insensitive human prostatic carcinoma cell lines,cell_line,jnlpba
pc-3,cell_line,jnlpba
du-145,cell_line,jnlpba
androgen receptor ( ar ) gene,DNA,jnlpba
camp response element,DNA,jnlpba
ar mrna,RNA,jnlpba
lncap,cell_line,jnlpba
du-145 cell lines,cell_line,jnlpba
cre binding protein,protein,jnlpba
ar-cre,protein,jnlpba
ar gene,DNA,jnlpba
pc-3 and du-145 cell lines,cell_line,jnlpba
human cd36 gene promoter,DNA,jnlpba
pebp2/cbf site,DNA,jnlpba
cd36,protein,jnlpba
glycoprotein,protein,jnlpba
thrombospondin,protein,jnlpba
collagens type i and iv,protein,jnlpba
low density lipoprotein,protein,jnlpba
apoptotic cells,cell_type,jnlpba
oxidized low density lipoprotein,protein,jnlpba
cd36 promoter,DNA,jnlpba
5'-deletion fragments,DNA,jnlpba
158 base pairs upstream,DNA,jnlpba
nucleotides -158 to -90,DNA,jnlpba
-158/-90,DNA,jnlpba
polyomavirus enhancer-binding protein 2/core-binding factor ( pebp2/cbf ) family,protein,jnlpba
position -103,DNA,jnlpba
pebp2/cbf factors,protein,jnlpba
cd36 gene,DNA,jnlpba
pebp2/cbf family,protein,jnlpba
myeloid-specific genes,DNA,jnlpba
colony-stimulating factor receptor,protein,jnlpba
cd36 gene promoter,DNA,jnlpba
hla-dqb1 codon 57,DNA,jnlpba
hla-dq alleles,DNA,jnlpba
hla-dq sequence,DNA,jnlpba
salt bridge structure,protein,jnlpba
peptide-binding cleft,protein,jnlpba
class ii molecule,protein,jnlpba
dq3.3 asp-57-positive mhc molecules,protein,jnlpba
class ii-peptide complex,protein,jnlpba
dq3.2-peptide complex,protein,jnlpba
t cell clone,cell_line,jnlpba
t cell receptor/cd3 complex,protein,jnlpba
co-stimulatory molecules,protein,jnlpba
dna-binding factor,protein,jnlpba
stimulated cells,cell_line,jnlpba
t lymphocyte populations,cell_type,jnlpba
th1 cells,cell_line,jnlpba
t-cell- and b-cell-specific transcription factors,protein,jnlpba
gata-3,protein,jnlpba
hodgkin 's reed-sternberg cells,cell_line,jnlpba
t cell receptor-beta ( tcr-beta ) gene rearrangements,DNA,jnlpba
l428 and hdlm-1 cells,cell_line,jnlpba
hdlm-1 cells,cell_line,jnlpba
immunoglobulin heavy-chain ( igh ) gene rearrangement,DNA,jnlpba
km-h2 cells,cell_line,jnlpba
long-term cell lines,cell_line,jnlpba
h-rs cells,cell_line,jnlpba
lymphoid markers,protein,jnlpba
ig/tcr gene rearrangements,DNA,jnlpba
cultured h-rs cells,cell_line,jnlpba
cell lineage,cell_line,jnlpba
cultured human and murine cell lines,cell_line,jnlpba
h-rs cell lines,cell_line,jnlpba
myeloma cell lines,cell_line,jnlpba
b-cell markers,protein,jnlpba
vpreb1,protein,jnlpba
lambda 5,protein,jnlpba
cd19,protein,jnlpba
t-cell-restricted markers,protein,jnlpba
mek1,protein,jnlpba
mitogen-activated protein ( map ) kinase/extracellular signal-regulated kinase kinase 1,protein,jnlpba
map kinases/extracellular signal regulated kinases,protein,jnlpba
mek1-interfering mutants,protein,jnlpba
map kinase-specific phosphatase,protein,jnlpba
mkp-1,protein,jnlpba
human interleukin 9 gene,DNA,jnlpba
human interleukin 9 ( il-9 ) gene,DNA,jnlpba
human t cell leukemia virus type i-transformed human t cell line,cell_line,jnlpba
c5mj2,cell_line,jnlpba
il-9 gene,DNA,jnlpba
negative regulatory elements,DNA,jnlpba
c5mj2 cells,cell_line,jnlpba
-46 and -80,DNA,jnlpba
nf-kappab site,DNA,jnlpba
-59 to -50,DNA,jnlpba
20-base pair upstream sequence,DNA,jnlpba
il-9 promoter,DNA,jnlpba
novel proteins,protein,jnlpba
35 kda,protein,jnlpba
regulatory sequence,DNA,jnlpba
kappab element,DNA,jnlpba
double-stranded dna target,DNA,jnlpba
recombinant and nuclear nf-kappab proteins,protein,jnlpba
gm-csf element,DNA,jnlpba
human t-cell lymphotrophic virus-1 tax,protein,jnlpba
interleukin 3 mrna,RNA,jnlpba
human monoblastic leukemia u937 cells,cell_line,jnlpba
myosin light chain kinase,protein,jnlpba
monocytoid leukemia cell lines,cell_line,jnlpba
myeloblastic leukemic ml-1 cell,cell_line,jnlpba
erythroleukemia k562 cells,cell_line,jnlpba
u937 cell,cell_line,jnlpba
anae,protein,jnlpba
human monoblastic cells,cell_line,jnlpba
monocyte-macrophage lineage-associated surface antigen,protein,jnlpba
transforming growth factor-beta 1,protein,jnlpba
chronically infected monocytic cells,cell_line,jnlpba
promonocytic cell line,cell_line,jnlpba
cellular transcription factor,protein,jnlpba
gm-csf-stimulated cells,cell_line,jnlpba
endogenous il-1,protein,jnlpba
anti-inflammatory cytokines,protein,jnlpba
endogenously produced viral inducer,protein,jnlpba
il-1ra,protein,jnlpba
herpesvirus saimiri immortalized gamma delta t cell line,cell_line,jnlpba
heterodimeric cytokine,protein,jnlpba
responsive cells,cell_type,jnlpba
il-12r complex,protein,jnlpba
cytotoxic t cells,cell_type,jnlpba
il-12r,protein,jnlpba
human gamma delta t cell line,cell_line,jnlpba
cytolytic effector molecules,protein,jnlpba
granzyme b,protein,jnlpba
janus kinase family,protein,jnlpba
nonreceptor tyrosine kinases,protein,jnlpba
signal transducer and activator of transcription 4,protein,jnlpba
higher order nucleoprotein complexes,protein,jnlpba
human lim-hox gene,DNA,jnlpba
hlh-2,DNA,jnlpba
9q33-34.1,DNA,jnlpba
human lh-2,protein,jnlpba
cysteine-rich regions,protein,jnlpba
lim domains,protein,jnlpba
homeobox ( hox ) dna-binding domain,protein,jnlpba
chromosome 9q33-34.1,DNA,jnlpba
bcr-abl chimera,protein,jnlpba
derivative 9 chromosome,DNA,jnlpba
c-abl,DNA,jnlpba
chromosome 9,DNA,jnlpba
t ( 9 ; 22 ) ( q34 ; q11 ) translocation,DNA,jnlpba
cd4+ infected t-lymphoid cells,cell_line,jnlpba
thymic lymphocytes,cell_type,jnlpba
chronically hiv-infected cells,cell_type,jnlpba
receptor binding sites,protein,jnlpba
chronically hiv-infected cells,cell_line,jnlpba
lymphoid cem line,cell_line,jnlpba
hiv-infected cells,cell_type,jnlpba
infected cd4+ t-lymphocytes,cell_type,jnlpba
erythroid transcription factor p45 nf-e2 mrna,RNA,jnlpba
human peripheral granurocytes,cell_type,jnlpba
transcription factor nf-e2,protein,jnlpba
p45 subunit,protein,jnlpba
basic-leucine zipper domain,protein,jnlpba
small maf family protein,protein,jnlpba
nf-e2 complex,protein,jnlpba
p45,protein,jnlpba
p45 mrna,RNA,jnlpba
granulocyte fraction,cell_type,jnlpba
human peripheral blood cells,cell_type,jnlpba
mafk mrna,RNA,jnlpba
anf-e2 promoter,DNA,jnlpba
fnf-e2 promoter,DNA,jnlpba
erythroid and megakaryocytic lineage cells,cell_type,jnlpba
megakaryocytic lineage cells,cell_type,jnlpba
c-fos and c-jun proteins,protein,jnlpba
phytohemagglutinin-stimulated lymphocytes,cell_line,jnlpba
p62c-fos,protein,jnlpba
p39c-jun,protein,jnlpba
cellular systems,cell_line,jnlpba
continuously growing myeloid leukemic cell line,cell_line,jnlpba
phyto- hemagglutinin ( pha ) -stimulated normal human peripheral blood lymphocytes,cell_line,jnlpba
fos and jun family proteins,protein,jnlpba
pha-stimulated pbl,cell_line,jnlpba
nuclear p62c-fos and p39c-jun,protein,jnlpba
unstimulated pbl,cell_type,jnlpba
cytoplasmic p62c-fos and p39c-jun,protein,jnlpba
cytoplasmic p62c-fos,protein,jnlpba
cytoplasmic p39c-jun,protein,jnlpba
octamer binding factors,protein,jnlpba
murine pu.1 ( spi-1 ) promoter,DNA,jnlpba
myeloid and b cells,cell_type,jnlpba
b cell and myeloid genes,DNA,jnlpba
pu.1 promoter,DNA,jnlpba
cell type-specific reporter gene,DNA,jnlpba
murine pu.1 promoter,DNA,jnlpba
pu.1 autoregulatory site,DNA,jnlpba
obf-1/bob1/oca-b,protein,jnlpba
b cell restricted coactivator,protein,jnlpba
nf-kappab proteins,protein,jnlpba
transiently transfected cells,cell_line,jnlpba
nf-kappab1 p105 precursor protein,protein,jnlpba
precursor protein,protein,jnlpba
cos7 cells,cell_line,jnlpba
inducible regulator,protein,jnlpba
c-myb 5 ' flanking sequence,DNA,jnlpba
unactivated t cells,cell_type,jnlpba
protein-dna complex,protein,jnlpba
cmat,protein,jnlpba
c-myb in activated t cells,protein,jnlpba
nuclear factor of activated t cells ( nfat ) binding site,DNA,jnlpba
nfat emsa binding complex,protein,jnlpba
cmat complex,protein,jnlpba
cmat protein,protein,jnlpba
cmat binding complex,protein,jnlpba
monocyte/macrophage tumor necrosis factor,protein,jnlpba
26-kda membrane form,protein,jnlpba
chloram-phenicol acetyltransferase ( cat ) constructs,DNA,jnlpba
5 ' and 3 ' untranslated regions,DNA,jnlpba
soluble tumor necrosis factor receptors,protein,jnlpba
infected u1 cells,cell_type,jnlpba
recombinant human tumor necrosis factor ( tnf ) binding protein-1,protein,jnlpba
r-h tbp-1,protein,jnlpba
recombinant human soluble dimeric tnf receptor,protein,jnlpba
rhu tnfr : fc,protein,jnlpba
hiv-1-infected promonocytic u1 cells,cell_type,jnlpba
r-h-tbp-1,protein,jnlpba
hiv-1 p24 antigen,protein,jnlpba
t-lymphocytic ach-2 cells,cell_line,jnlpba
r-htbp-1,protein,jnlpba
phytohemagglutinin ( pha ) -induced supernatant,protein,jnlpba
endogenous tbp-1,protein,jnlpba
nuclear factor ( nk ) - kappa b,protein,jnlpba
nk- kappa b,protein,jnlpba
rna polymerase iii-dependent genes,DNA,jnlpba
human t-cell leukemia virus type 1 tax protein,protein,jnlpba
human t-cell leukemia virus-encoded tax protein,protein,jnlpba
human t-cell leukemia virus type 1-infected human t lymphocytes,cell_line,jnlpba
uninfected t lymphocytes,cell_type,jnlpba
viral protein tax,protein,jnlpba
purified tax,protein,jnlpba
class iii gene transcription factor,protein,jnlpba
active tfiiib molecules,protein,jnlpba
rna polymerase iii-dependent gene,DNA,jnlpba
transcription initiation complex,protein,jnlpba
retinoid x receptor alpha,protein,jnlpba
normal and leukemic cells,cell_type,jnlpba
nuclear receptor,protein,jnlpba
rxr alpha protein,protein,jnlpba
myelomonocytic cell lines,cell_line,jnlpba
monocytic precursors,cell_type,jnlpba
p13mtcp1,protein,jnlpba
xq28 regions,DNA,jnlpba
tcl1 and mtcp1 putative oncogenes,DNA,jnlpba
mtcp1 gene,DNA,jnlpba
t ( x ; 14 ) ( q28 ; q11 ) translocation,DNA,jnlpba
type a and b transcripts,RNA,jnlpba
a transcripts,RNA,jnlpba
mitochondrial protein,protein,jnlpba
p8mtcp1,protein,jnlpba
type b transcripts,RNA,jnlpba
107 amino-acid protein,protein,jnlpba
14-kd protein,protein,jnlpba
p13mtcp1 protein,protein,jnlpba
immature and mature lymphoid t-cell proliferations,cell_type,jnlpba
mtcp1 locus,DNA,jnlpba
mtcp1 rearrangements,DNA,jnlpba
p14tcl1,protein,jnlpba
protein family,protein,jnlpba
stat2,protein,jnlpba
signalling complexes,protein,jnlpba
latent transcription factors,protein,jnlpba
stat protein heterocomplexes,protein,jnlpba
unstimulated hela cells,cell_line,jnlpba
-stat3,protein,jnlpba
stat2 signaling complex,protein,jnlpba
heterocomplexes,protein,jnlpba
lps-stimulated monocytes,cell_type,jnlpba
p105 transcripts,RNA,jnlpba
p65 protein,protein,jnlpba
hematopoietic cell-specific transcription factor,protein,jnlpba
mip-1 alpha gene,DNA,jnlpba
hematopoietic stem cells,cell_type,jnlpba
cd8+ t-cells,cell_type,jnlpba
cd4+ t-cells,cell_type,jnlpba
transformed b-cells,cell_line,jnlpba
mnp family,protein,jnlpba
transformed b cells,cell_line,jnlpba
mnp-1,protein,jnlpba
mnp-2,protein,jnlpba
htlv-1 tax,protein,jnlpba
mip-1 alpha promoter,DNA,jnlpba
t-helper lymphocytes,cell_type,jnlpba
t-helper cells,cell_type,jnlpba
docking sites,protein,jnlpba
cytoplasmic transcription factors,protein,jnlpba
signal transducers and activators of transcription ( stat ) proteins,protein,jnlpba
egr1,protein,jnlpba
cd44,protein,jnlpba
b-cell antigen receptor,protein,jnlpba
bcr,protein,jnlpba
lymphocyte homing and migration protein,protein,jnlpba
cd44 mrna,RNA,jnlpba
egr1-expressing but not in nonexpressing subclones,cell_line,jnlpba
wehi-231,cell_line,jnlpba
egr1 protein,protein,jnlpba
egr1-expressing subclone,cell_line,jnlpba
human cd44 promoter,DNA,jnlpba
cd44 promoter-chloramphenicol acetyltransferase reporter construct,DNA,jnlpba
egr-1 expression vector,DNA,jnlpba
empty expression vector,DNA,jnlpba
egr1 binding motif,DNA,jnlpba
promoter-chloramphenicol acetyltransferase reporter construct,DNA,jnlpba
nontransformed b lymphocytes,cell_type,jnlpba
egr1 expression vector,DNA,jnlpba
wurzburg cells,cell_line,jnlpba
interleukin-1alpha promoter,DNA,jnlpba
human t-cell leukemia virus type i and type ii tax proteins,protein,jnlpba
human t-cell leukemia virus type i ( htlv-i ) -infected t-cell lines,cell_line,jnlpba
interleukin-1alpha,protein,jnlpba
il-1alpha,protein,jnlpba
htlv-i-infected cell lines,cell_line,jnlpba
il-1alpha promoter,DNA,jnlpba
il-1alpha gene,DNA,jnlpba
il-1alpha promoter constructs,DNA,jnlpba
htlv-i-positive mt-2 cells,cell_line,jnlpba
uninfected jurkat cell line,cell_line,jnlpba
nuclear factor ( nf ) -kappab,protein,jnlpba
il-1alpha promoter-cat constructs,DNA,jnlpba
p65/p50,protein,jnlpba
il-1alpha kappab-like sites,DNA,jnlpba
"-1 , 065 to -1 , 056",DNA,jnlpba
+646 to +655,DNA,jnlpba
mt-2 cells,cell_line,jnlpba
3 ' nf-kappab binding site,DNA,jnlpba
5 ' nf-kappab site,DNA,jnlpba
5 ' or 3 ' nf-kappab sites,DNA,jnlpba
c-reactive protein,protein,jnlpba
myeloid-cell-specific c-fes promoter,DNA,jnlpba
c-fps/fes ( c-fes ) proto-oncogene,DNA,jnlpba
vascular endothelial cells,cell_type,jnlpba
13-kilobase-pair ( kb ) human c-fes transgene,DNA,jnlpba
human c-fes gene,DNA,jnlpba
c-fes 5'-flanking sequences,DNA,jnlpba
13-kb human c-fes locus,DNA,jnlpba
positive cis-acting elements,DNA,jnlpba
3'-flanking sequences,DNA,jnlpba
myeloid nuclear proteins,protein,jnlpba
-408 to -386,DNA,jnlpba
-293 to -254,DNA,jnlpba
-76 to -65,DNA,jnlpba
-34 to +3,DNA,jnlpba
151 bp,DNA,jnlpba
5'-flanking sequences,DNA,jnlpba
151-bp region,DNA,jnlpba
nuclear protein binding sites,DNA,jnlpba
pu.1/elf-1 sites,DNA,jnlpba
/elf-1,protein,jnlpba
3 ' site,DNA,jnlpba
fp4-3 ',DNA,jnlpba
c-fes promoter,DNA,jnlpba
nonmyeloid cell lines,cell_line,jnlpba
myeloid-cell-specific promoter,DNA,jnlpba
nuclear factor-kappa b/rel,protein,jnlpba
cd3-stimulated human peripheral t lymphocytes,cell_line,jnlpba
( nf ) -kappa b/rel,protein,jnlpba
mab okt3,protein,jnlpba
dna-protein complexes,protein,jnlpba
abs,protein,jnlpba
nf-kappa b/rel protein family,protein,jnlpba
rel a,protein,jnlpba
cd80 ag,protein,jnlpba
anti-cd28 mab,protein,jnlpba
clb-cd28/1,protein,jnlpba
il-10-inhibited lymphocytes,cell_line,jnlpba
cd80,protein,jnlpba
cd3-stimulated t lymphocytes,cell_line,jnlpba
kappa b-driven genes,DNA,jnlpba
a-myb,DNA,jnlpba
b-myb,DNA,jnlpba
a-myb gene,DNA,jnlpba
v-myb oncogene,DNA,jnlpba
mature human b lymphocytes,cell_type,jnlpba
myeloma lines,cell_line,jnlpba
a-myb,protein,jnlpba
richter 's cells,cell_line,jnlpba
a-myb rna,RNA,jnlpba
cll cells,cell_line,jnlpba
p93fes,protein,jnlpba
stat1 p91,protein,jnlpba
stat3 p92,protein,jnlpba
gm-csf-induced peripheral blood polymorphonuclear leukocytes,cell_line,jnlpba
signal transducers and activators of transcription ( stat ) family members,protein,jnlpba
c-fps/fes protooncogene,DNA,jnlpba
gm-csf receptor beta common subunit,protein,jnlpba
p92,protein,jnlpba
gm-csf-stimulated pmn,cell_type,jnlpba
epstein-barr virus nuclear antigen 2 ( ebna2 ) -oestrogen receptor fusion proteins,protein,jnlpba
human b cell lymphoma lines,cell_line,jnlpba
epstein-barr virus nuclear antigen 2 ( ebna2 ) gene,DNA,jnlpba
n or c terminus,protein,jnlpba
wild-type ebna2,protein,jnlpba
p3hr1 virus genome,DNA,jnlpba
mini-ebv plasmid,DNA,jnlpba
ebna2 gene,DNA,jnlpba
established human b cell lymphoma lines,cell_line,jnlpba
stably transfected cells,cell_line,jnlpba
b cell lymphoma lines,cell_line,jnlpba
ebna2-oestrogen receptor fusion protein,protein,jnlpba
chimeric protein,protein,jnlpba
gammac chain gene promoter,DNA,jnlpba
ga-binding protein,protein,jnlpba
gammac chain,protein,jnlpba
hematopoietic lineages,cell_type,jnlpba
human gammac promoter,DNA,jnlpba
minimal tissue-specific promoter region,DNA,jnlpba
5'-deletion constructs,DNA,jnlpba
1053 base pairs upstream,DNA,jnlpba
hematopoietic and nonhematopoietic cell types,cell_type,jnlpba
-1053/+34 construct,DNA,jnlpba
hematopoietic origin,cell_type,jnlpba
murine gammac promoter gene,DNA,jnlpba
ets family proteins,protein,jnlpba
gabpalpha,protein,jnlpba
-beta,protein,jnlpba
il2rbeta promoter,DNA,jnlpba
gabp,protein,jnlpba
specific factors,protein,jnlpba
gammac gene,DNA,jnlpba
intracellular signal transduction molecules,protein,jnlpba
intracellular signaling proteins,protein,jnlpba
human t-cell leukemia virus type 1 promoter,DNA,jnlpba
tax-responsive element 1,DNA,jnlpba
cyclic amp-responsive members,protein,jnlpba
creb/atf family,protein,jnlpba
tre-1,DNA,jnlpba
cyc1 promoter,DNA,jnlpba
gal4 activation domain,protein,jnlpba
gad,protein,jnlpba
gad-creb fusion protein,protein,jnlpba
creb mutants,protein,jnlpba
